Date,Team 1 form (W-L),Team 2 form (W-L),H2H (+ is Team 1),Ranking Diff (+ is Team 1),Result (0 = Team 1 win)
1/24/21,3,3,1,12,0
1/24/21,-5,-3,-2,5,1
1/24/21,3,3,2,0,0
1/24/21,1,-1,0,0,0
1/24/21,3,-3,3,112,0
1/24/21,-1,0,0,0,0
1/24/21,1,-1,5,33,1
1/24/21,-3,1,0,0,1
1/24/21,5,3,-2,2,1
1/24/21,3,-3,1,35,0
1/24/21,-1,-1,0,-15,0
1/24/21,1,1,4,1,1
1/24/21,1,-1,0,87,0
1/24/21,-3,-2,0,111,0
1/24/21,-3,-1,0,-9,1
1/24/21,5,3,1,-35,1
1/24/21,1,-1,-1,14,0
1/24/21,3,3,1,18,0
1/24/21,1,0,0,120,1
1/23/21,3,3,-4,14,1
1/23/21,1,1,3,-5,1
1/23/21,1,1,1,-17,1
1/23/21,5,1,0,58,0
1/23/21,5,1,7,1,0
1/23/21,1,1,0,38,0
1/23/21,-1,1,-2,0,1
1/23/21,-1,3,1,0,0
1/23/21,-5,-3,0,5,1
1/23/21,3,1,0,-17,1
1/23/21,5,1,0,-5,1
1/23/21,1,5,0,5,0
1/23/21,2,1,0,0,1
1/22/21,-5,3,0,23,0
1/22/21,1,5,-2,1,1
1/22/21,1,1,0,-12,1
1/22/21,1,-3,1,35,1
1/22/21,1,-1,5,5,0
1/22/21,1,-1,-3,12,0
1/22/21,-1,-1,0,109,0
1/22/21,-1,3,0,-78,1
1/22/21,1,1,-2,-9,1
1/22/21,0,-2,1,-3,1
1/22/21,1,-1,0,158,0
1/22/21,0,-3,0,-6,1
1/22/21,-3,1,0,10,0
1/22/21,-1,3,0,34,0
1/22/21,-1,-3,-1,-15,1
1/22/21,0,0,0,12,1
1/22/21,1,1,0,-43,1
1/22/21,5,1,0,12,0
1/22/21,-3,-3,-1,33,1
1/22/21,1,3,-1,10,0
1/22/21,2,-1,0,11,0